商業名稱,負責人,商業所在地,設立時間,登記項目,year,section.y,
唯戀企業社,劉安琦,臺北市萬華區武昌街2段72號之7,106/10/16,布疋、衣著、鞋、帽、傘、服飾品零售業除許可業務外，得經營法令非禁止或限制之業務,2017,武昌街2段,
金庫冰品店,林格民,臺北市萬華區中華路1段114巷12號,106/10/19,食品什貨、飲料零售業飲料店業除許可業務外，得經營法令非禁止或限制之業務,2017,中華路1段,
西門町咖哩王小吃店,王少卿,臺北市萬華區武昌街2段82巷2弄2號,106/10/25,餐館業其他餐飲業國際貿易業,2017,武昌街2段,
軒和企業社,唐品胤,臺北市萬華區武昌街2段56號,106/10/30,食品什貨、飲料零售業飲料店業,2017,武昌街2段,
小郭牛羊肉莊,郭武清,臺北市萬華區西寧南路4號(西寧公有市場83號1樓獸內類),106/11/06,家畜家禽批發業水產品批發業其他農、畜、水產品批發業農產品零售業畜產品零售業水產品零售業其他農畜水產品零售業除許可業務外，得經營法令非禁止或限制之業務,2017,西寧南路,
犢立小吃店,陳錦松,臺北市萬華區昆明街196號1樓,106/11/13,餐館業,2017,昆明街,
夾霸商行,顏義峰,臺北市萬華區武昌街2段6號,106/11/17,資訊軟體服務業資料處理服務業電子資訊供應服務業文教、樂器、育樂用品零售業除許可業務外，得經營法令非禁止或限制之業務,2017,武昌街2段,
咪咪食堂,邢美華,臺北市萬華區漢中街35之6號,106/11/22,食品什貨、飲料零售業其他餐飲業除許可業務外，得經營法令非禁止或限制之業務,2017,漢中街,
賺滿財麵食館,王宇瑄,臺北市萬華區昆明街163號,106/11/28,餐館業食品什貨、飲料零售業除許可業務外，得經營法令非禁止或限制之業務,2017,昆明街,
珈佶企業社,曹瑋珍,臺北市萬華區成都路29號1樓,106/11/24,食品什貨、飲料零售業飲料店業除許可業務外，得經營法令非禁止或限制之業務,2017,成都路,
宗璘雞排店,陳宗璘,臺北市萬華區中華路1段144之23號,106/12/06,食品什貨、飲料零售業菸酒零售業,2017,中華路1段,
樂子室內裝修實業社,廖健丞,臺北市萬華區成都路50號,106/12/08,室內裝修業,2017,成都路,
六小福小吃店,肖琴,臺北市萬華區康定路25巷25之1號,106/12/12,食品什貨、飲料零售業飲料店業餐館業除許可業務外，得經營法令非禁止,2017,康定路,
威登商行,張煥璿,臺北市萬華區武昌街2段83之9號1樓,106/12/18,美容美髮服務業除許可業務外，得經營法令非禁止或限制之業務,2017,武昌街2段,
